Name,Website,"Project Description","Project Manager","Project Status",Resource,"Start Year","End Year","Project Connectivity","Capacity MW","Project Scale","Project Life Cycle",Devices,"Number of Devices",Waterbody,"Site Characteristics",Country
"PRIMRE/Databases/Projects Database/Projects/Marina di Pisa",https://www.offshore-energy.biz/marina-di-pisa-project-to-make-waves-off-italy/,,"40 South Energy",Active,Wave,2015,,"Grid Connected",0.1,Array,Operational,H24wave,2,"Coast off Tuscany, Italy",Coastal,Italy
"PRIMRE/Databases/Projects Database/Projects/Marmok BiMEP Test",https://www.offshore-energy.biz/bimep-wave-device-composing-for-opera-overhaul/,,"Oceantec Energias Marinas SL",Inactive,Wave,2016,2020,"Grid Connected",0.03,"Single Device",Completed,MARMOK-A-5,1,"Bay of Biscay, Armintza, Spain",,Spain
"PRIMRE/Databases/Projects Database/Projects/Marwick Head",https://www.scottishpowerrenewables.com/news/pages/scottishpower_renewables_purchase_pelamis_wave_power_device.aspx,,"Pelamis Wave Power",Inactive,Wave,2012,2013,"Grid Connected",49.5,Array,Canceled,"Pelamis P2",66,"Pentland Firth, Scotland, United Kingdom",Coastal,"United Kingdom"
"PRIMRE/Databases/Projects Database/Projects/MeyGen Pentland Firth Phase 1a",https://www.nsenergybusiness.com/projects/meygen-tidal-power-project/,,"ANDRITZ Hydro",Active,Tidal,2014,,"Grid Connected",6,Array,Operational,"AR1500,AR1000",4,"Inner Sound of the Pentland Firth between the Scottish mainland and the island of Stroma, 2km from the coast of Caithness.; Scotland, Caithness",,"United Kingdom"
"PRIMRE/Databases/Projects Database/Projects/MeyGen Pentland Firth Phase 1b",https://www.nsenergybusiness.com/projects/meygen-tidal-power-project/,,"SIMEC Atlantis Energy",Active,Tidal,2020,,"Grid Connected",10,Array,Planned,"Seagen S",6,"Inner Sound of the Pentland Firth between the Scottish mainland and the island of Stroma, 2km from the coast of Caithness.; Scotland, Caithness",,"United Kingdom"
"PRIMRE/Databases/Projects Database/Projects/MeyGen Pentland Firth Phase 1c",https://www.nsenergybusiness.com/projects/meygen-tidal-power-project/,,"SIMEC Atlantis Energy",Active,Tidal,2018,,"Grid Connected",6,Array,Operational,"SIMEC AR1500,ANDRITZ Hydro HS1000",4,"Inner Sound of the Pentland Firth between the Scottish mainland and the island of Stroma, 2km from the coast of Caithness.; Scotland, Caithness",,"United Kingdom"
"PRIMRE/Databases/Projects Database/Projects/MeyGen Pentland Firth Phase 2",https://www.nsenergybusiness.com/projects/meygen-tidal-power-project/,,"SIMEC Atlantis Energy",Active,Tidal,Planned,,"Grid Connected",312,Array,Planned,"Seagen S",,"Inner Sound of the Pentland Firth between the Scottish mainland and the island of Stroma, 2km from the coast of Caithness.; Scotland, Caithness",,"United Kingdom"
"PRIMRE/Databases/Projects Database/Projects/Milla Fjord Wave Dragon Project",http://wavedragon.net/projekter-ii/,,"Wave Dragon ApS",Inactive,Wave,Canceled,,"Not Grid Connected",116,Array,Decommissioned,"Wave Dragon",,"Atlantic Ocean, 20 km from Pembrokeshire, United Kingdom","Open Ocean","United Kingdom"
"PRIMRE/Databases/Projects Database/Projects/Minesto Holyhead Deep - Non-grid connected DG500",https://minesto.com/projects/holyhead-deep,,"Minesto AB",Inactive,Tidal,2018,,"Not Grid Connected",0.5,"Single Device",Completed,"Deep Green Tidal Kite",1,"Irish Sea, United Kingdom",Coastal,"United Kingdom"
"PRIMRE/Databases/Projects Database/Projects/Minesto Strangford Lough",https://minesto.com/our-technology/strangford-lough,,"Minesto AB",Active,Tidal,2010,,,0.03,"Single Device",Planned,"Deep Green Tidal Kite",1,"Strangford Lough, Irish Sea",,"United Kingdom"
"PRIMRE/Databases/Projects Database/Projects/Minesto Taiwan Tidal Energy",https://minesto.com/projects/taiwan,,"Minesto AB",Active,Tidal,2016,,"Grid Connected",0.5,"Single Device",Planned,,,"Kuroshio Current",,Taiwan
"PRIMRE/Databases/Projects Database/Projects/Mocean WEC: Blue Horizon",https://www.waveenergyscotland.co.uk/programmes/details/novel-wave-energy-converter/mocean-wave-energy-converter/,,"Wave Energy Scotland,Mocean Energy,Blackfish Engineering,Ecosse Subsea Systems",Active,Wave,2015,,"Grid Connected",1,Sub-scale,Planned,"Blue X",1,,Coastal,"United Kingdom"
"PRIMRE/Databases/Projects Database/Projects/Montenegro Demonstration of Sigma Energy WEC",https://www.sigma-energy.si/,,"Sigma Energy",Inactive,Wave,2022,,"Not Grid Connected",0.03,"Single Device",Operational,"Sigma Energy WEC",1,"Adriatic Sea, Bar, Montenegro",Coastal,Montenegro
"PRIMRE/Databases/Projects Database/Projects/Morecambe Bay and Duddon Estuary Tidal Lagoon",http://www.cumbriachamber.co.uk/wp-content/uploads/2019/04/NTPG_update.pdf,,"North West Energy Squared Limited,Northern Tidal Power Gateways",Active,Tidal,Planned,,"Grid Connected",3960,Array,Planned,,132,"Morecambe Bay and the Duddon Estuary, Irish Sea","Enclosed Bay","United Kingdom"
"PRIMRE/Databases/Projects Database/Projects/Morlais",https://www.morlaisenergy.com/,,"Menter Mon",Active,Tidal,Planned,,"Grid Connected",240,Array,Planned,"O2 Turbine,Magallanes Renovables ATIR,Nova M100",,"Irish Sea, Wales, United Kingdom",Coastal,"United Kingdom"
"PRIMRE/Databases/Projects Database/Projects/Mull of Galloway",https://www.annualreports.com/HostedData/AnnualReportArchive/s/LSE_SAE_2019.pdf,,"SIMEC Atlantis Energy",Inactive,Tidal,Canceled,,,30,Array,Canceled,"Seagen U",30,"Mull of Galloway","Open Ocean","United Kingdom"
"PRIMRE/Databases/Projects Database/Projects/Mull of Kintyre Phase 1",https://www.hvnplus.co.uk/news/nautricity-to-lead-tidal-power-revolution-30-08-2012/,,Nautricity,Inactive,Tidal,2011,2012,"Grid Connected",0.5,"Single Device",Completed,CoRMaT,1,,,"United Kingdom"
"PRIMRE/Databases/Projects Database/Projects/Mull of Kintyre Phase 2",https://tethys.pnnl.gov/sites/default/files/publications/Nautricity-EA-2013.pdf,,Nautricity,Inactive,Tidal,2012,,"Grid Connected",3,Array,Planned,CoRMaT,6,"Scotland, Argyll & Bute",,"United Kingdom"
"PRIMRE/Databases/Projects Database/Projects/Muskeget Channel",https://www.mreconewengland.org/newsletters-press/,,"Marine Renewable Energy Collaborative (MRECo)",Active,Tidal,2013,,"Grid Connected",5,Array,Planned,"OCGen Power System",14,"Muskeget Bay, Edgartown, MA",,"United States"
"PRIMRE/Databases/Projects Database/Projects/Nautilus 150MW Project",http://www.sbsintl.com/nautilus-150mw-project.html,,"SBS Intl Ltd",Active,Tidal,2017,,"Grid Connected",150,Array,Planned,,,"Badung Strait, Indonesia","Constricted Channel",Indonesia
"PRIMRE/Databases/Projects Database/Projects/Nautilus Tidal Energy Project Phase 1",https://marineenergy.biz/2018/11/20/developers-submit-grid-expansion-plans-for-nautilus-tidal/,,"SIMEC Atlantis Energy",Inactive,Tidal,2017,2020,"Grid Connected",12,Array,Planned,"SIMEC AR1500",8,"Straits around islands of Bali and Lombok, Indonesia",,Indonesia
"PRIMRE/Databases/Projects Database/Projects/Nautilus Tidal Energy Project Phase 2",https://www.offshore-energy.biz/sbsek-reaches-fid-for-indonesias-150mw-tidal-energy-project/,,"SIMEC Atlantis Energy",Active,Tidal,2017,,"Grid Connected",70,Array,Planned,"SIMEC AR1500",47,"Straits around islands of Bali and Lombok, Indonesia",,Indonesia
"PRIMRE/Databases/Projects Database/Projects/Nautilus Tidal Energy Project Phase 3",https://www.offshore-energy.biz/sbsek-reaches-fid-for-indonesias-150mw-tidal-energy-project/,,"SIMEC Atlantis Energy",Active,Tidal,2017,,"Grid Connected",150,Array,Planned,"SIMEC AR1500",100,"Straits around islands of Bali and Lombok, Indonesia",,Indonesia
"PRIMRE/Databases/Projects Database/Projects/Ness of Duncansby Phase 1",https://www.gov.scot/publications/pilot-pentland-firth-orkney-waters-marine-spatial-plan-socio-economic/pages/9/#page-top,,"SIMEC Atlantis Energy",Active,Tidal,2012,,"Grid Connected",30,Array,Planned,AR1500,95,"Ness of Duncansby, Scottland",,"United Kingdom"
"PRIMRE/Databases/Projects Database/Projects/Ness of Duncansby Phase 2",https://www.gov.scot/publications/pilot-pentland-firth-orkney-waters-marine-spatial-plan-socio-economic/pages/9/#page-top,,"SIMEC Atlantis Energy",Active,Tidal,2012,,"Grid Connected",65,Array,Planned,AR1500,95,"Ness of Duncansby, Scottland",,"United Kingdom"
"PRIMRE/Databases/Projects Database/Projects/New Energy for Martinique and Overseas NEMO",https://oceanenergy-europe.eu/wp-content/uploads/2018/01/ocn_-_nemo_-_fr_-_2016_factsheet_0.pdf,,"Akuo Energy,Naval Group",Inactive,"Thermal Gradient",2014,2018,"Grid Connected",16,"Single Device",Canceled,"NEMO OTEC",1,"Eastern Caribbean Sea, Martinique, France",Coastal,France
"PRIMRE/Databases/Projects Database/Projects/North Wales Tidal Lagoon",https://www.northwalestidalenergy.com/concept,,"North Wales Tidal Energy Coastal Protection",Active,Tidal,2017,,"Grid Connected",2000,Array,Planned,,100,"Off the North Wales coast",Coastal,"United Kingdom"
"PRIMRE/Databases/Projects Database/Projects/North West Lewis",https://tethys.pnnl.gov/project-sites/north-west-lewis-wave-array,,"Aquamarine Power",Inactive,Wave,2013,2015,"Grid Connected",40,Array,Canceled,"Oyster 800",50,"North-west coasr of the Western Isles, Scotland",,"United Kingdom"
"PRIMRE/Databases/Projects Database/Projects/OIST Maldives Demonstration",https://www.oist.jp/news-center/press-releases/oist-harness-energy-ocean-waves-maldives,,"Okinawa Institute of Science and Technology Graduate University",Active,Wave,2018,,"Not Grid Connected",11.6,Array,Planned,"OIST WEC-units",2,"Indian Ocean",,Maldives
"PRIMRE/Databases/Projects Database/Projects/OPT Reedsport",https://oceanpowertechnologies.com/,,"Ocean Power Technologies",Inactive,Wave,2006,2014,"Grid Connected",50,Array,Canceled,"PowerBuoy PB3",,"Pacific Ocean off Reedsport, OR","Open Ocean","United States"
"PRIMRE/Databases/Projects Database/Projects/OWC Pico Power Plant",https://www.sciencedirect.com/science/article/pii/S0141118719305875,,Pico,Inactive,Wave,1999,2018,"Not Grid Connected",0.4,"Single Device",Canceled,Pico,1,"Pico Island, Azores, Spain",Coastal,Spain
"PRIMRE/Databases/Projects Database/Projects/Oceanlinx MK1",https://tethys.pnnl.gov/project-sites/oceanlinx-mk1,,Oceanlinx,Inactive,Wave,2005,2009,"Not Grid Connected",0.5,"Single Device",Canceled,,1,"Port Kembla Harbour",,Australia
"PRIMRE/Databases/Projects Database/Projects/Oceanlinx MK2",https://tethys.pnnl.gov/project-sites/oceanlinx-mk2,,Oceanlinx,Inactive,Wave,2007,2008,"Not Grid Connected",,Sub-scale,Canceled,,1,"Port Kembla Harbour",Coastal,Australia
"PRIMRE/Databases/Projects Database/Projects/Oceanlinx MK3",https://tethys.pnnl.gov/project-sites/oceanlinx-mk3,,Oceanlinx,Inactive,Wave,2010,2010,"Grid Connected",2.5,Sub-scale,Canceled,,1,"Port Kembla Harbour",,Australia
"PRIMRE/Databases/Projects Database/Projects/Okinawa OTEC Demonstration",http://otecokinawa.com/en/Project/index.html,,"IHI Corporation",Active,"Thermal Gradient",2013,,"Grid Connected",0.1,Array,Operational,"Okinawa Rankine OTEC",2,"Kume Island, Japan",Coastal,Japan
"PRIMRE/Databases/Projects Database/Projects/Oneka Algarrobo Chile Test",https://www.offshore-energy.biz/oneka-sets-foot-in-chile-with-wave-powered-desalination-technology/,,"Oneka Technologies",Inactive,Wave,2022,2023,"Not Grid Connected",0,"Single Device",Completed,"Oneka P-class",1,"Algarrobo, Chile",Coastal,Chile
"PRIMRE/Databases/Projects Database/Projects/Oneka City of Fort Bragg Desalination",https://www.onekawater.com/the-city-of-fort-bragg-and-oneka-technologies-partner-to-deploy-the-first-wave-powered-desalination-demonstration-site-in-california/,,"Oneka Technologies",Active,Wave,2023,,"Not Grid Connected",,"Single Device",Planned,"Oneka Iceberg-class",1,"Fort Bragg Coast, California, United States",Coastal,"United States"
"PRIMRE/Databases/Projects Database/Projects/Oneka Glacier Project",https://www.onekawater.com/canadian-company-oneka-in-chile/,,"Oneka Technologies",Active,Wave,2023,,"Not Grid Connected",1.5,Array,Planned,"Oneka Iceberg-class",,"Algarrobo, Chile",Coastal,Chile
"PRIMRE/Databases/Projects Database/Projects/Oosterschelde Tocardo",https://www.tocardo.com/tocardo-acquires-1-25mw-oosterschelde-tidal-power-plant-the-largest-tidal-array-in-the-world/,,"Tocardo International BV",Active,Tidal,2015,,,1.25,Array,Operational,"Tocardo International T2 Turbine",5,"Eastern Scheldt",,Netherlands
"PRIMRE/Databases/Projects Database/Projects/Open Sea Lab",https://meric.cl/lab-en/,,"Energía Marina SpA",Active,Wave,2021,,"Not Grid Connected",0.015,"Single Device",Operational,"PB3 PowerBuoy",1,"Las Cruces, Chile",Coastal,Chile
"PRIMRE/Databases/Projects Database/Projects/Orbital at PTEC",https://orbitalisleofwight.com/,,Scotrenewables,Active,Tidal,2021,,"Grid Connected",15,Array,Planned,"O2 Turbine",7,"Isle of Wright, United Kingdom","Constricted Channel","United Kingdom"
"PRIMRE/Databases/Projects Database/Projects/P154 Guinard Demo",https://www.offshore-energy.biz/guinard-energies-to-power-french-oyster-farm-with-tidal-turbine/,,"Guinard Energies Nouvelles",Active,Tidal,2018,,"Grid Connected",0.02,"Single Device",Planned,MegaWattBlue,1,"Atlantic Ocean",,France
"PRIMRE/Databases/Projects Database/Projects/PLAT-I Connel Sound Demonstration",https://www.smithsonianmag.com/innovation/push-tidal-power-face-biggest-challenge-180974369/,,"Schottel Hydro GmbH,Sustainable Marine Energy Ltd",Inactive,Tidal,2017,2018,"Not Grid Connected",0.28,"Single Device",Decommissioned,PLAT-I,1,"Connel Sound, Scotland, United Kingdom","Constricted Channel","United Kingdom"
"PRIMRE/Databases/Projects Database/Projects/Pangasinan Energy Island Plant",http://www.energyisland.com/projects/philippines.html,,"Energy Island Ltd",Active,"Thermal Gradient",Planned,,"Grid Connected",50,"Single Device",Planned,,1,"Off the coast of Pangasinan, Philippines",Coastal,Philippines
"PRIMRE/Databases/Projects Database/Projects/Pempa’q In-stream Tidal Energy Project",https://www.offshore-energy.biz/sustainable-marine-gets-busy-on-tidal-power-connection-in-nova-scotia/,,"Sustainable Marine Energy Ltd,Fundy Ocean Research Center for Energy",Active,Tidal,2022,,"Grid Connected",9,Array,Planned,PLAT-I,20,"Bay of Fundy, Nova Scotia, Canada","Constricted Channel",Canada
"PRIMRE/Databases/Projects Database/Projects/Pennamaquan Project",https://www.offshore-energy.biz/pennamaquan-tidal-project-moves-forward/,,"Halcyon Tidal Power LLC",Inactive,Tidal,2014,,,25.6,Array,Canceled,"Alstom Power bulb turbine",17,"Pennamaquan Estuary in the Bay of Fundy, Maine",,"United States"
"PRIMRE/Databases/Projects Database/Projects/Perpetuus Tidal Energy Centre PTEC",https://perpetuustidal.com/,,"Perpetuus Tidal Energy Centre Ltd",Active,Tidal,2021,,,30,Array,Planned,"O2 Turbine",,"South coast of the Isle of Wight",,"United Kingdom"
"PRIMRE/Databases/Projects Database/Projects/Perth Wave Energy Project PWEP",https://www.power-technology.com/projects/perth-wave-energy-project/,,"Carnegie Clean Energy",Active,Wave,2014,2015,"Grid Connected",5,Array,Operational,"CETO 6",3,"Offshore of Fremantle, Australia",,Australia
"PRIMRE/Databases/Projects Database/Projects/Pipo PLOCAN Test",,,"Pipo Systems",Inactive,Wave,Canceled,,"Grid Connected",10,Sub-scale,Completed,"WELCOME (Wave Energy Lift Converter Multiple España)",,,,Spain
"PRIMRE/Databases/Projects Database/Projects/Port Fairy Pilot Wave Energy Project",https://www.power-technology.com/projects/port-fairy-pilot-wave-energy-project/,,"BioPower Systems Pty Ltd",Inactive,Wave,2014,2017,"Grid Connected",0.25,"Single Device",Completed,BioWAVE,1,"Coast of Port Fairy, Victoria",,Australia
"PRIMRE/Databases/Projects Database/Projects/Port of Antwerp Hydroturbine",https://sustainableworldports.org/project/port-of-antwerp-hydro-turbine/,,Water2Energy,Inactive,Tidal,2018,2019,"Not Grid Connected",0.2,"Single Device",Completed,"Water2Energy VAWT",1,"Port of Antwerp, Belgium","Constricted Channel",Belgium
"PRIMRE/Databases/Projects Database/Projects/Portland Bill tidal site",https://www.thecrownestate.co.uk/en-gb/media-and-insights/seabed-and-coastal-notices/archived-notices/,,"SIMEC Atlantis Energy",Active,Tidal,Canceled,,"Grid Connected",30,Array,Operational,"Seagen U",30,"English Channel",Coastal,"United Kingdom"
"PRIMRE/Databases/Projects Database/Projects/Portnahaven",https://nsglc.olemiss.edu/sglpj/Vol2No2/Campbell.pdf,,"Voith Hydro Inc",Inactive,Wave,2000,,,0.25,"Single Device",Canceled,"Land Installed Marine Powered Energy Transformer LIMPET",1,"North Atlantic Ocean",Coastal,"United Kingdom"
"PRIMRE/Databases/Projects Database/Projects/PowerPier Ålesund",https://havkraft.no/projects/,,"Havkraft AS",Active,Wave,2021,,"Grid Connected",0.03,Array,Operational,"Havkraft A-Class",2,"Ulsteinflåten, Norway",Coastal,Norway
"PRIMRE/Databases/Projects Database/Projects/Project Nepal Tocardo",https://www.nsenergybusiness.com/news/newstocardo-and-glow-tech-in-jv-for-turbine-production-in-nepal-2/,,"Tocardo International BV",Active,Tidal,2012,,,2.5,Array,Planned,"T1 Turbine",25,"Koshi River",,Nepal
"PRIMRE/Databases/Projects Database/Projects/Project Texel Tocardo",https://www.bluewater.com/our-solutions/renewable-energy-solutions/e-power-buoy-terminal/texel-project/,,"Tocardo International BV,Bluewater",Active,Tidal,2015,,"Grid Connected",0.25,"Single Device",Operational,"Tocardo International T2 Turbine",1,"North Sea",,Netherlands
"PRIMRE/Databases/Projects Database/Projects/Pulse Stream 1200",https://www.iee.fraunhofer.de/en/research_projects/search/2013/pulse-stream-1200.html,,"Fraunhofer Institute for Energy Economics and Energy System Technology",Inactive,Tidal,2009,2013,,1.2,"Single Device",Completed,Pulse-Stream,1,,,"United Kingdom"
"PRIMRE/Databases/Projects Database/Projects/Quezon Wave Farm",http://www.energyisland.com/projects/philippines.html,,"Energy Island Ltd",Active,Wave,Planned,,"Grid Connected",0.1,"Single Device",Planned,"Energy Island Lilypad",1,"Quezon, Philippines",Coastal,Philippines
"PRIMRE/Databases/Projects Database/Projects/REAPower",https://redstack.nl/en/projecten/reapower/,,"REDStack BV",Inactive,"Salinity Gradient",2010,2014,,0,"Single Device",Completed,"RED-Stack Blue Energy",,"Mediterranean Sea",,Italy
"PRIMRE/Databases/Projects Database/Projects/REWEC3 at Marina of Roccella Jonica",https://www.wavenergy.it/projects/application-of-the-rewec3-technology-to-the-marina-of-roccella-jonica-italy/,,"Wavenergyit srl",Active,Wave,Planned,,,,Array,Planned,"Wavenergyit REWEC3",2,"Marina of Roccella Jonica",Coastal,Italy
"PRIMRE/Databases/Projects Database/Projects/REWEC3 in the Harbour of Salerno",https://www.wavenergy.it/projects/rewec3-harbour-salerno/,,"Wavenergyit srl",Inactive,Wave,Canceled,,"Grid Connected",0,Array,Canceled,"Wavenergyit REWEC3",3,"Port of Salerno",Coastal,Italy
"PRIMRE/Databases/Projects Database/Projects/REWEC3 in the Port of Civitavecchia",https://www.wavenergy.it/projects/rewec3-in-the-port-of-civitavecchia/,,"Wavenergyit srl",Inactive,Wave,2013,2017,,2.5,"Single Device",Completed,"Wavenergyit REWEC3",1,"Port of Civitavecchia, Rome, Italy",Coastal,Italy
"PRIMRE/Databases/Projects Database/Projects/Ramsey Sound",https://tethys.pnnl.gov/project-sites/ramsey-sound,,"Tidal Energy Ltd",Inactive,Tidal,2015,2016,"Not Grid Connected",0.4,"Single Device",Completed,"Delta Stream",1,"Ramsey Sound, Wales, UK",,"United Kingdom"
"PRIMRE/Databases/Projects Database/Projects/Resen PLOCAN Test",https://www.resenwaves.com/wave-energy-data-communications/the-technology/,,"Resen Waves",Inactive,Wave,Canceled,,"Grid Connected",0.0003,Sub-scale,Completed,"Resen Smart Power Buoy",1,"North Atlantic Ocean",Coastal,Spain
"PRIMRE/Databases/Projects Database/Projects/Ringmo",https://www.newenergycorp.ca/nepal,,"New Energy Corporation",Active,Tidal,2014,,,0.005,"Single Device",Operational,,1,"Ringmo, Nepal",River,Nepal
"PRIMRE/Databases/Projects Database/Projects/Roosevelt Island Tidal Energy RITE Project",https://www.renewable-technology.com/projects/roosevelt-island-tidal-energy-new-york/,,"Verdant Power",Inactive,Tidal,2012,2021,"Grid Connected",0.105,Array,Decommissioned,"Kinetic Hydropower System (KHPS) Gen5",3,"East River","Constricted Channel","United States"
"PRIMRE/Databases/Projects Database/Projects/Ruby",https://www.newenergycorp.ca/ruby,,"New Energy Corporation",Inactive,Tidal,2006,,,0.005,"Single Device",Completed,,1,"Yukon River, Alaska",River,"United States"
"PRIMRE/Databases/Projects Database/Projects/Runde Demonstration Project",https://www.waves4power.com/demo-runde/,,Waves4Power,Inactive,Wave,2016,2019,"Grid Connected",0.25,"Single Device",Completed,"Waves4Power WaveEL",1,"Norwegian Sea","Open Ocean",Norway
"PRIMRE/Databases/Projects Database/Projects/SBS 1MW Pilot Project",http://www.sbsintl.com/1mw-pilot-project.html,,"SBS Intl Ltd",Active,Tidal,Planned,,"Grid Connected",1,Array,Planned,,,,,Indonesia
"PRIMRE/Databases/Projects Database/Projects/SEAFLOW",https://www.iee.fraunhofer.de/en/research_projects/search/2004/seaflow.html,,"Fraunhofer Institute for Energy Economics and Energy System Technology,Marine Current Turbines",Inactive,Tidal,2001,2004,"Not Grid Connected",0.3,"Single Device",Completed,SeaFlow,1,"Lynnmouth, North Devon",Coastal,"United Kingdom"
"PRIMRE/Databases/Projects Database/Projects/SEENEOH Test Site - Design Pro",https://seeneoh.com/en/utilisateurs/designpro-renewables-en/,,DesignPro,Inactive,Tidal,2018,2020,,0.03,"Single Device",Completed,"GKinetic Tidal Turbine",1,,,France
"PRIMRE/Databases/Projects Database/Projects/SEENEOH Test Site - Design Pro 2",https://designprorenewables.com/technology/#deployments,,DesignPro,Inactive,Tidal,2018,2019,"Grid Connected",0.06,"Single Device",Completed,"GKinetic Tidal Turbine",1,,,France
"PRIMRE/Databases/Projects Database/Projects/SINN Power Crete",https://balkangreenenergynews.com/sinn-power-testing-wave-energy-conversion-in-heraklion/,,"SINN Power GmbH",Active,Wave,2015,,"Grid Connected",0.08,"Single Device",Operational,"SINN Power WEC",1,"Heraklion, Crete",,Greece
"PRIMRE/Databases/Projects Database/Projects/SUPRC OTEC Pilot Project",https://report2016.ocean-energy-systems.org/country-reports/republic-of-korea/technology-demonstration/,,"Korea Research Institute of Ships and Ocean Engineering",Active,"Thermal Gradient",2013,,,0.02,"Single Device",Operational,"KRISO OTEC",1,"Near  Gangwon-do Goseoung-gun",,"South Korea"
"PRIMRE/Databases/Projects Database/Projects/Sabella D10 tidal turbine at Ushant Island - Phase 1",https://www.sabella.bzh/en/our-projects/d10/,,Sabella,Inactive,Tidal,2015,2016,"Grid Connected",1,"Single Device",Completed,"Sabella D10",1,"Fromveur Passage, off the coast of Ushant Island, Brittany","Constricted Channel",France
"PRIMRE/Databases/Projects Database/Projects/Sabella D10 tidal turbine at Ushant Island - Phase 2",https://www.sabella.bzh/wp-content/uploads/d10_recovery_april_2019.pdf,,Sabella,Inactive,Tidal,2018,2019,"Grid Connected",1,"Single Device",Completed,"Sabella D10",1,"Fromveur Passage, off the coast of Ushant Island, Brittany","Constricted Channel",France
"PRIMRE/Databases/Projects Database/Projects/Sabella D10 tidal turbine at Ushant Island - Phase 3",https://www.sabella.bzh/wp-content/uploads/sabella_d10_smoothing_function_final.pdf,,Sabella,Active,Tidal,2022,,"Grid Connected",1,"Single Device",Operational,"Sabella D10",1,"Fromveur Passage, off the coast of Ushant Island, Brittany","Constricted Channel",France
"PRIMRE/Databases/Projects Database/Projects/Sanda Sound",https://tethys.pnnl.gov/project-sites/ocean-flow-energy-sanda-sound,,"Oceanflow Energy Ltd",Inactive,Tidal,2014,2017,"Grid Connected",0.04,"Single Device",Completed,Evopod,1,"Atlantic Ocean",,"United Kingdom"
"PRIMRE/Databases/Projects Database/Projects/Scilly Airport WEP",https://www.offshorewind.biz/2013/09/10/uk-scilly-airport-wep-getting-closer-to-reality/,,"40 South Energy",Active,Wave,2013,,"Not Grid Connected",0.45,Array,Planned,R115,3,"Celtic Sea",,"United Kingdom"
"PRIMRE/Databases/Projects Database/Projects/Seagen Anglesey Skerries",https://tethys.pnnl.gov/project-sites/anglesey-skerries-tidal-stream-array,,"SIMEC Atlantis Energy",Inactive,Tidal,2006,2016,"Grid Connected",10,Array,Canceled,"Seagen S",5,"Irish Sea, UK",,"United Kingdom"
"PRIMRE/Databases/Projects Database/Projects/Seagen Brough Ness",https://www.pentlandfirthrenewables.co.uk/portfolio/brough-ness/,,"SIMEC Atlantis Energy",Active,"Ocean Current",2015,,"Grid Connected",99,Array,Planned,"Seagen S",66,"Atlantic Ocean",,"United Kingdom"
"PRIMRE/Databases/Projects Database/Projects/Seagen Kyle Rhea",https://www.sas.org.uk/wp-content/uploads/Kyle-Rhea.pdf,,"SIMEC Atlantis Energy",Inactive,Tidal,2009,2016,"Grid Connected",8,Array,Canceled,"Seagen S",4,"Kyle Rhea, between the Isle of Skye and the west coast of Scotland",,"United Kingdom"
"PRIMRE/Databases/Projects Database/Projects/Seagen Strangford Lough",https://tethys.pnnl.gov/project-sites/strangford-lough-mct-seagen,,"SIMEC Atlantis Energy",Inactive,Tidal,2008,2016,"Grid Connected",1.2,"Single Device",Canceled,"Seagen S",1,"Irish Sea",,Ireland
"PRIMRE/Databases/Projects Database/Projects/Seagen Strangford Lough Array",https://www.belfasttelegraph.co.uk/business/news/green-light-for-another-tidal-scheme-on-strangford-lough-30416366.html,,"SIMEC Atlantis Energy",Inactive,Tidal,2014,,"Grid Connected",20,Array,Decommissioned,"Seagen U",20,"Irish Sea",,Ireland
"PRIMRE/Databases/Projects Database/Projects/Seaturns Trial at Saint-Anne-du-Portzic",https://seaturns.com/progress/,,Seaturns,Active,Wave,2023,,"Not Grid Connected",,Sub-scale,Operational,"Seaturns WEC",1,"Bay of Brest","Enclosed Bay",France
"PRIMRE/Databases/Projects Database/Projects/Seaturns Trial at Sainte-Anne-du-Portzic",https://seaturns.com/progress/,,"Seaturns,French Research Institute for Exploitation of the Sea",Active,Wave,2023,,"Not Grid Connected",,Sub-scale,Operational,"Seaturns WEC",1,"Bay of Brest","Enclosed Bay",France
"PRIMRE/Databases/Projects Database/Projects/Shetland Tidal Array Phase 1",https://tethys.pnnl.gov/project-sites/nova-innovation-shetland-tidal-array,,"Nova Innovation Ltd",Inactive,Tidal,2016,2017,"Grid Connected",0.3,Array,Completed,"Nova M100",3,"Irish Sea, UK",,"United Kingdom"
"PRIMRE/Databases/Projects Database/Projects/Shetland Tidal Array Phase 2 EnFAIT",https://tethys.pnnl.gov/project-sites/nova-innovation-shetland-tidal-array,,"Nova Innovation Ltd",Inactive,Tidal,2018,2022,"Grid Connected",0.6,Array,Completed,"Nova M100",6,"Atlantic Ocean",,"United Kingdom"
"PRIMRE/Databases/Projects Database/Projects/Sihwa Tidal Power Plant",https://tethys.pnnl.gov/project-sites/sihwa-tidal-power-plant,,"Korean Water Resource Corporation",Active,Tidal,2011,,,254,Array,Operational,,10,"Sihwa Lake, South Korea",,"South Korea"
"PRIMRE/Databases/Projects Database/Projects/Singapore Tidal Demonstration Project",https://www.mako.energy/singapore-demonstration-project,,"MAKO Tidal Turbines Pty Ltd MTT",Inactive,Tidal,2017,2018,,0.4,"Single Device",Completed,"MAKO Tidal Turbine",,Singapore,,Singapore
"PRIMRE/Databases/Projects Database/Projects/Solway Energy Gateway",http://www.solwayenergygateway.co.uk/,,"Solway Energy Gateway Ltd",Active,Tidal,2011,,,100,"Single Device",Planned,,1,"Irish Sea",,"United Kingdom"
