Name,Type,Sector,Country,"Year Founded","Number of Employees",Website,"Phone Number"
"Littoral Power Systems Inc","Technology Developer","Hydropower,Marine Energy,Renewable Energy","United States",2014,2-10,http://www.littoralpower.com,508-436-4100
"Lockheed Martin Energy","Technology Developer","Marine Energy,Renewable Energy","United States",1912,"10,001+",https://news.lockheedmartin.com/2017-02-23-First-Tidal-Energy-Turbine-with-Lockheed-Martin-Technology-Deployed-Off-Scotland-Coast,
"Loria Emerging Energy Consulting",,"Marine Energy,Renewable Energy","United States",2005,,,N/A
"Luna Sea Solutions",,"Marine Energy,Renewable Energy",Canada,2016,,http://lunaocean.ca/,"+1 (902) 292-9639"
"Lunar Energy","Technology Developer","Marine Energy,Renewable Energy","United Kingdom",2001,,,"44 14 8264 8964"
"M3 Wave","Technology Developer","Marine Energy,Renewable Energy","United States",2009,2-10,http://www.m3wave.com/,"(541) 602-4160"
M4Wave,"Technology Developer","Marine Energy,Renewable Energy","United Kingdom",,,https://pkstansby.wixsite.com/m4wavepower,
"MAKO Tidal Turbines Pty Ltd MTT","Technology Developer","Marine Energy,Renewable Energy",Australia,2013,11-50,https://www.mako.energy/,"+61 2 8294 8333"
Magnomatics,"Technology Developer","Marine Energy,Renewable Energy,Transmission,Wind energy","United Kingdom",,,http://www.magnomatics.com/pages/technology/innovation.htm,"+44 (0)114 241 2570"
"Mainstream Renewable Power","Technology Developer","Solar,Wind energy,Marine Energy",Ireland,,,https://www.mainstreamrp.com/,
"Makai Ocean Engineering Inc","Technology Developer","Marine Energy,Renewable Energy","United States",1973,11-50,http://www.makai.com,808.259.8871
"Manchester Bobber","Technology Developer","Renewable Energy,Marine Energy","United Kingdom",2004,,https://personalpages.manchester.ac.uk/staff/robert.j.brown/Default_files/Manchester_Bobber.htm,
"Marine Current Turbines","Technology Developer","Marine Energy,Renewable Energy","United Kingdom",1999,,https://en.wikipedia.org/wiki/Marine_Current_Turbines,
"Marine Development Associates Inc",,"Marine Energy,Renewable Energy","United States",1984,1,,
"Marine Energy Corporation","Technology Developer","Marine Energy,Renewable Energy","United States",2012,4,http://www.marineenergycorp.com,1-832-654-4003
"Marine Energy Wales",,"Marine Energy,Renewable Energy","United Kingdom",2010,11,https://www.marineenergywales.co.uk/,
"Marine Hydroelectric Company","Technology Developer","Marine Energy,Renewable Energy","United States",2008,,https://www.f6s.com/company/marinehydroelectriccompany,"(949) 331-0533"
"Marine Power Systems","Technology Developer","Marine Energy,Renewable Energy","United Kingdom",2008,2-10,http://marinepowersystems.co.uk/,"+44 (0)1792 277 160"
"Marine Renewable Energy Collaborative (MRECo)","Academic Institutions","Renewable Energy,Marine Energy","United States",,,https://www.mreconewengland.org/,508-728-5825
"Marine Renewable Energy Ireland","Project Manager,Technology Developer","Marine Energy,Renewable Energy",Ireland,2013,,https://www.marei.ie/,"(021) 486 4300"
"Martifer Energia",,"Renewable Energy,Marine Energy",Portugal,1990,1001-5000,http://www.martifer.pt/en/,"+351 232 767 700"
"Martin & Ottoway",,"Marine Energy","United States",1875,,https://martinottaway.com/,732.224.1133
"Mavi Innovations Inc","Technology Developer","Marine Energy,Renewable Energy",Canada,2007,,http://www.mavi-innovations.ca/,"+1778 724 4575"
"Menter Mon","Technology Developer","Marine Energy,Renewable Energy","United Kingdom",1996,,https://www.mentermon.com/en/,"01248 725 700"
"Mermaid Power Corporation","Technology Developer","Marine Energy,Renewable Energy",Canada,2010,,https://neptunewave.wixsite.com/mermaidpower,604-626-5901
"Minas Tidal Limited Partnership","Energy Generation Organizations","Marine Energy,Renewable Energy",Canada,2016,,https://www.minasenergy.com/minas-tidal,"1 (519) 657-7624"
MinasEnergy,"Energy Generation Organizations","Renewable Energy,Marine Energy",Canada,,,https://www.minasenergy.com/,1-902-835-7100
"Minesto AB","Technology Developer","Marine Energy,Renewable Energy",Sweden,2007,51-200,https://minesto.com/,"+46 (0) 31-29 00 60"
"Mitsui Engineering & Services for Evolution & Sustainability","Technology Developer","Carbon,Marine Energy",Japan,1917,5952,https://www.mes.co.jp/english/,+81-3-3544-3133
"Mocean Energy","Technology Developer","Marine Energy,Renewable Energy","United Kingdom",2015,2-10,https://www.mocean.energy/,"+44 (0)131 472 4722"
Modec,"Technology Developer,Oil and Gas Companies","Marine Energy,Petroleum,Renewable Energy,Wind energy",Japan,1968,1001-5000,http://www.modec.com/,
"Morbihan Energies","Energy Generation Organizations,Project Manager,Technology Developer","Marine Energy,Renewable Energy",France,2008,,https://morbihan-energies.fr/,"02 97 62 07 50"
"Motor Wave Group","Technology Developer","Renewable Energy,Marine Energy","Hong Kong",2004,,,
"Murtech Inc",,"Marine Energy,Renewable Energy","United States",2004,,https://murtech.us/,410-766-5335
"National Renewable Energy Laboratory","Public Institutions,United States Department of Energy National Laboratories",,,1977,1001-5000,http://www.nrel.gov/,303-275-3000
"Natural Currents Energy Services LLC","Technology Developer","Hydropower,Marine Energy,Renewable Energy","United States",2005,,,619-795-0598
"Natural Energy Laboratory of Hawaii Authority","Project Manager","Marine Energy,Renewable Energy","United States",1974,26,http://nelha.hawaii.gov/,"(808) 327-9585"
"Natural Energy Wyre Ltd","Technology Developer","Marine Energy,Renewable Energy","United Kingdom",2014,2-10,http://www.naturalenergywyre.org/,
Nautricity,"Technology Developer","Marine Energy,Renewable Energy","United Kingdom",2010,,,"(+44) 0141 275 4850"
"Naval Group","Technology Developer,Project Manager","Renewable Energy,Marine Energy,Vehicles,Wind energy",France,2008,,https://www.naval-group.com/en/,"+33 (0)1 40 59 50 00"
"Nemos GmbH","Technology Developer","Renewable Energy,Marine Energy",Germany,,11-50,https://nemos.de/,"(+49) 203 3062070"
"Neptune Equipment Corporation","Technology Developer","Marine Energy,Renewable Energy",Canada,2010,,,
"Neptune Wave Power LLC","Technology Developer","Marine Energy,Renewable Energy","United States",2010,2-10,http://neptunewavepower.com/,"+1 (214) 769-4400"
NeptuneWaveca,"Technology Developer","Marine Energy,Renewable Energy",Canada,2017,,https://www.neptunewave.ca/,604-626-5901
"New Energy Corporation","Technology Developer,Project Manager","Marine Energy,Renewable Energy,Hydropower",Canada,2003,2-10,http://www.newenergycorp.ca,"+1 (403) 260 5240"
"NewEast Energy","Project Manager","Marine Energy,Renewable Energy",Canada,,,https://energy.novascotia.ca/sites/default/files/files/Public-Project-Description-March-2020.pdf,
"Nordic Folkecenter for Renewable Energy","Project Manager","Marine Energy,Bioenergy,Efficiency,Geothermal energy,Hydropower,Hydrogen,Renewable Energy,Services,Solar,Wind energy",Denmark,1983,,https://www.folkecenter.net/,"+45 9795 6600"
"North Wales Tidal Energy Coastal Protection","Project Manager,Technology Developer","Marine Energy,Renewable Energy","United Kingdom",2013,2-10,https://www.northwalestidalenergy.com/,"01745 606106"
"North West Energy Squared Limited","Project Manager","Marine Energy,Renewable Energy","United Kingdom",2013,2-10,https://find-and-update.company-information.service.gov.uk/company/08595540,
"Northern Tidal Power Gateways","Project Manager","Marine Energy,Renewable Energy","United Kingdom",2014,,,
"Northwest Energy Innovations LLC",,PRIMRE,"United States",2010,2-10,http://azurawave.com/about/,
"Norwegian Ocean Power","Technology Developer","Marine Energy,Renewable Energy",Norway,2009,2-10,https://www.offshore-energy.biz/norwegian-ocean-power-trials-tidal-prototype/,"+47 41 69 79 59"
"Nova Innovation Ltd","Energy Generation Organizations,Project Manager,Technology Developer","Marine Energy,Renewable Energy","United Kingdom",2010,11-50,https://www.novainnovation.com/,"+44 (0)131 241 2000"
NoviOcean,"Technology Developer","Marine Energy,Renewable Energy",Sweden,2011,,https://noviocean.energy/,"+46(0)73 394 84 17"
"ORE Catapult","Technology Developer","Marine Energy,Renewable Energy","United Kingdom",2013,300,https://ore.catapult.org.uk/,"+44 (0) 333 004 1400"
ORECon,"Technology Developer","Marine Energy,Renewable Energy","United Kingdom",2002,,https://www.crunchbase.com/organization/orecon,"44 1208 269 374"
"Ocean Based Climate Solutions Inc","Technology Developer","Marine Energy,Renewable Energy","United States",2018,2-10,https://ocean-based.com/,"+1 (505) 457 0190"
"Ocean Electric Inc","Technology Developer","Marine Energy,Renewable Energy","United States",2006,2-10,http://oceanelectricinc.com/,
"Ocean Energy","Technology Developer","Marine Energy,Renewable Energy",Ireland,,,http://www.oceanenergy.ie/,"+353 (0) 21 4816780"
"Ocean Energy Industries Inc","Technology Developer","Marine Energy,Renewable Energy","United States",2009,51-200,https://oceanenergyindustries.com/,
"Ocean Energy Laboratory of Guangzhou Institute of Energy Conversion","Technology Developer","Marine Energy,Renewable Energy",China,1972,405,http://english.giec.cas.cn/,
"Ocean Energy Systems Inc","Technology Developer","Marine Energy,Renewable Energy","United States",,,http://www.oceanenergysys.com/,"+1 (410) 766-5335"
"Ocean Harvesting Technologies","Technology Developer","Renewable Energy,Marine Energy",Sweden,2007,,http://www.oceanharvesting.com/,"+46 709 55 61 66"
"Ocean Kinetics Ltd","Technology Developer","Marine Energy,Renewable Energy","United Kingdom",1992,,https://www.oceankinetics.co.uk/,
"Ocean Motion International","Technology Developer","Marine Energy,Renewable Energy","United States",,2-10,https://tracxn.com/d/companies/ocean-motion-international/__XBo-e8wXYU2SG-Z9O4CP5KuszcE5WnZX5Zsd0_Y_MOo,303-927-8771
"Ocean Navitas",,"Marine Energy,Renewable Energy","United Kingdom",,,,
"Ocean Power Technologies","Technology Developer","Marine Energy,Renewable Energy,Wind energy","United States",1994,50,http://www.oceanpowertechnologies.com,"+1 609 730 0400"
"Ocean Renewable Energy Coalition","Trade Groups","Marine Energy,Renewable Energy",,2005,,http://www.oceanrenewable.com/about-orec/,
"Ocean Renewable Power Company","Technology Developer","Marine Energy,Renewable Energy","United States",2004,11-50,https://orpc.co/,"(207) 772-7707"
"Ocean RusEnergy","Technology Developer","Renewable Energy,Marine Energy",Russia,2013,,https://tracxn.com/d/companies/ocean-rusenergy/__c4nwCfdHBRTlCen6roBoTUGMYgzTS2CfmAu4kc7edac,"+7 (343) 311-02-40"
"Ocean Thermal Energy Corporation","Technology Developer","Marine Energy,Renewable Energy","United States",1988,11-50,http://otecorporation.com/,"+1 717 299 1344"
"Ocean Wave Energy Company","Technology Developer","Marine Energy,Renewable Energy","United States",1978,2-10,http://www.owec.com/about.html,401-380-6906
"Ocean Wave and Wind Energy","Technology Developer","Marine Energy,Renewable Energy,Wind energy",Norway,1997,,http://www.oceanwaveandwindenergy.com/,
OceanEnergy,"Project Manager,Technology Developer","Marine Energy,Renewable Energy",Ireland,2020,,https://oceanenergy.ie/,"+353 (0)214816780"
"Oceana Energy Company","Technology Developer","Marine Energy,Renewable Energy","United States",2005,2-10,https://www.oceanaenergy.com/,"+1 (202) 465-6405"
"Oceanflow Energy Ltd","Technology Developer","Marine Energy,Renewable Energy","United Kingdom",2006,,http://www.oceanflowenergy.com/index.html,"+44 191 298 2170"
"Oceanic Platform of the Canary Islands Consortium","Project Manager","Marine Energy,Renewable Energy,Solar,Wind energy",Spain,2007,,https://plocan.eu/,"(+34) 928 13 44 14"
Oceanlinx,"Technology Developer","Marine Energy,Renewable Energy",Australia,1997,1,https://en.wikipedia.org/wiki/Oceanlinx,"61 (0) 2 9549 6300"
"Oceantec Energias Marinas SL","Technology Developer","Marine Energy,Renewable Energy",Spain,2008,,https://www.iberinform.es/empresa/2520588/oceantec-energias-marinas,"34 946 57 56 09"
"Oceantera Energy Corporation","Technology Developer","Marine Energy,Renewable Energy",Philippines,,,https://www.oceanteraenergy.com/,"65 9066 3584"
"Offshore Infrastructure Associates Inc","Technology Developer","Marine Energy,Renewable Energy","United States",2006,,http://www.offinf.com/,"(787) 753-6575"
"Offshore Islands Ltd","Technology Developer","Marine Energy,Petroleum","United States",,,https://www.bbb.org/us/tx/houston/profile/civil-engineer/offshore-islands-limited-0915-90026337,1-832-654-4003
"Offshore Subsea Consultancy Services","Oil and Gas Companies","Marine Energy,Services,Wind energy","United Kingdom",,,http://www.offshoresubseaconsultancyservices.com/,"00353 9622114 / 00353 868071394"
"Offshore Wave Energy Ltd","Technology Developer","Marine Energy,Renewable Energy","United Kingdom",2001,,http://www.owel.co.uk/,
"Okinawa Institute of Science and Technology Graduate University",,"Marine Energy,Renewable Energy",Japan,2011,501-1000,https://www.oist.jp/,"(+81) 98-966-2184"
"Oneka Technologies","Technology Developer","Marine Energy,Renewable Energy",Canada,2015,40,https://www.onekawater.com/,+1-819-485-0335
"Open Ocean Energy Ltd","Technology Developer","Marine Energy,Renewable Energy",Ireland,2007,,https://www.vision-net.ie/Company-Info/Open-Ocean-Energy-Limited-441704,
"OpenHydro Group Ltd","Technology Developer","Marine Energy,Renewable Energy",France,2005,51-200,https://openhydro.net/,"+353 (0) 1 717 0200"
"Orbital Marine Power","Technology Developer","Marine Energy,Renewable Energy","United Kingdom",2002,11-50,https://orbitalmarine.com/,"+44 (0)1856 851641"
"Oregon State University",,"Marine Energy,Renewable Energy,Hydropower","United States",1868,,https://oregonstate.edu/,541-737-2995
"Oscilla Power","Technology Developer","Marine Energy,Renewable Energy","United States",2009,2-10,http://www.oscillapower.com,"(206) 557-7032"
"PacMar Technologies","Technology Developer","Marine Energy,Renewable Energy","United States",1979,51-200,https://pacmartech.com/,"(808) 695-6643"
"Pacific Marine Energy Center","Academic Institutions","Marine Energy,Renewable Energy","United States",2008,,https://www.pmec.us/,
"Pelagic Power","Technology Developer","Marine Energy,Renewable Energy",Norway,2005,,http://www.pelagicpower.no/index.html,"+47 909 77 446"
"Pelamis Wave Power","Technology Developer","Marine Energy,Renewable Energy","United Kingdom",1998,None,https://www.emec.org.uk/about-us/wave-clients/pelamis-wave-power/,
"Pennamaquan Tidal Power LLC","Technology Developer","Marine Energy,Renewable Energy","United States",,,https://www.federalregister.gov/documents/2014/04/07/2014-07693/pennamaquan-tidal-power-llc-notice-of-preliminary-permit-application-accepted-for-filing-and,"(207) 791-3191"
"PerpetuWave Pty Ltd","Technology Developer","Marine Energy,Renewable Energy",Australia,,,https://www.bloomberg.com/profile/company/1005455D:AU#xj4y7vzkg,61-0-7-3885-2605
"Perpetuus Tidal Energy Centre Ltd","Technology Developer","Marine Energy,Renewable Energy","United Kingdom",2011,,https://perpetuustidal.com/,
Pico,"Technology Developer","Renewable Energy,Marine Energy",Portugal,,,http://www.pico-owc.net/,"(+351) 21 8482655"
"Pioneer Valley Renewables","Technology Developer","Marine Energy,Renewable Energy","United States",2013,2-10,http://pioneervalleyrenewables.com/,1-413-549-6470
"Pipo Systems","Technology Developer","Renewable Energy,Marine Energy",Spain,2002,2-10,https://tracxn.com/d/companies/pipo-systems/__2WrS3pCGSuw9vpoixkoE6Se_HfMGPqyJdJPeu1IBGO4,"+34 937 27 24 88"
"Pliant Energy","Technology Developer","Marine Energy,Vehicles,Renewable Energy","United States",,,https://www.pliantenergy.com/,"(718) 522-3962"
"PolyGen Ltd","Technology Developer","Marine Energy,Renewable Energy","United Kingdom",2013,2-10,,"+44 (0)1246 262721"
"Ponte di Archimede International SpA PdA","Technology Developer","Renewable Energy,Marine Energy",Italy,1983,,http://www.pontediarchimede.com/,39-090-44973
"Pontoon Power","Technology Developer","Marine Energy,Renewable Energy",Norway,2010,,http://www.pontoon.no/,"+47 91695168"
"Port of London Authority","Non-governmental Organizations","Hydropower,Marine Energy,Renewable Energy","United Kingdom",,1909,https://www.pla.co.uk/,
"Poseidon Renewable Energy Corporation","Project Manager","Marine Energy,Renewable Energy",Philippines,,,http://poseidonenergycorp.com/,"+63 2 358 4872"
"Practical Ocean Energy Management Systems",,"Marine Energy,Renewable Energy","United States",,,,
"Protean Wave Energy Ltd","Technology Developer","Marine Energy,Renewable Energy",Australia,2015,,http://proteanenergy.com/,
"Public Utility District No 1 of Snohomish County",,"Hydropower,Marine Energy,Renewable Energy,Transmission","United States",1936,501-1000,https://www.snopud.com/,425-783-8151
"Pure Marine Gen Ltd","Technology Developer","Marine Energy,Renewable Energy",Ireland,2007,,http://puremarinegen.com/,"+44 (0)28 9073 7992"
"QED Naval Limited","Project Manager,Technology Developer","Marine Energy,Renewable Energy","United Kingdom",2008,9,https://qednaval.co.uk/,"+44 (0) 131 202 0362"
Qair,"Project Manager,Technology Developer","Marine Energy,Renewable Energy,Solar,Wind energy",Brazil,2020,,https://www.qair.energy/en/,"+ 558532612014"
Quoceant,,PRIMRE,"United Kingdom",2015,2-10,https://www.quoceant.com/,"+44 (0)1315163786"
"REAC Energy GmbH","Technology Developer",,,,,https://www.reac-energy.com/,"+49 1773637917"
"REDStack BV","Technology Developer","Marine Energy,Renewable Energy",Netherlands,2005,11-50,http://www.redstack.nl/en,"+31 515 428670"
"RTI Wave Energy",,"Marine Energy,Renewable Energy","United States",2007,2-10,https://www.energy.gov/eere/water/rti-wave-power,207-363-5502
Ramboll,"Technology Developer","Marine Energy,Renewable Energy",Denmark,1945,"10,001+",,"+45 5161 1000"
"Renewable Devices Marine Ltd","Technology Developer","Marine Energy,Renewable Energy","United Kingdom",2002,,http://www.capricornmarine.com/,
"Resen Waves","Technology Developer","Renewable Energy,Marine Energy",Denmark,2010,2-10,http://www.resenwaves.com/,"+45 39 40 46 96"
"Resolute Marine Energy Inc","Technology Developer","Marine Energy,Renewable Energy","United States",2007,,http://www.resolutemarine.com,"(617) 600-3050"
"Revision Consulting LLC","Technology Developer","Marine Energy,Renewable Energy","United States",,2-10,http://www.re-vision.net/index.shtml,916-977-3970
"Rotary Wave","Technology Developer","Marine Energy,Renewable Energy",Spain,2014,,https://www.rotarywave.com/,"(+34) 961561589"
Ryokuseisha,"Technology Developer","Marine Energy",Japan,1951,11-50,http://www.ryokuseisha.com/eng/index.html,81-3-5644-7950
"SBM Offshore NV","Oil and Gas Companies,Technology Developer","Marine Energy,Wind energy,Renewable Energy",Netherlands,1965,1001-5000,https://www.sbmoffshore.com/,"+31 (0)20 236 3000"
"SBS Intl Ltd","Oil and Gas Companies,Project Manager,Technology Developer","Marine Energy,Renewable Energy","United Kingdom",1990,,http://www.sbsintl.com/about-sbs.html,"+44 (0) 1224 624166"
"SIMEC Atlantis Energy","Project Manager,Technology Developer","Marine Energy,Renewable Energy","United Kingdom",2005,51-200,https://simecatlantis.com/,"+44 131 659 9690"
"SINN Power GmbH","Project Manager,Technology Developer","Marine Energy,Solar,Wind energy,Renewable Energy",Germany,2014,11-50,https://www.sinnpower.com/en/,"+49 (0)89 9256 6192"
"SRI International","Technology Developer,Private Institutions","Marine Energy,Renewable Energy","United States",1946,1001-5000,http://www.sri.com,"+1 (650) 859-2000"
"SSE Renewables UK Limited","Project Manager","Marine Energy,Renewable Energy","United Kingdom",2002,30-50,https://www.sserenewables.com/,"+44 (0) 1189 534998"
STRAUM,"Technology Developer","Marine Energy,Renewable Energy",Norway,2001,2-10,https://www.linkedin.com/company/hydra-tidal-energy-technology-as/about/,"47 77 05 84 10"
Sabella,"Technology Developer","Marine Energy,Renewable Energy",France,2008,11-50,http://www.sabella.fr/en,"33 2 98 10 12 35"
"SantAnna Scuola Universitaria Superiore Pisa","Academic Institutions","Marine Energy,Renewable Energy",Italy,1987,,https://www.santannapisa.it/en,"+39 050 883111"
"Schottel Hydro GmbH","Project Manager,Technology Developer","Marine Energy,Renewable Energy",Germany,1921,1001-5000,https://www.schottel.de/fr/schottel-hydro/about-us/,"+49 (0) 26 28 / 6 10"
"Scientific Applications Research Associates Inc","Technology Developer","Marine Energy,Renewable Energy","United States",1989,51-200,https://sara.com/,"(714) 224-4410"
"SeWave Ltd",,"Marine Energy,Renewable Energy","Faroe Islands",,,https://find-and-update.company-information.service.gov.uk/company/09128044,
"Sea Power Ltd","Technology Developer","Marine Energy,Renewable Energy",Ireland,2008,2-10,http://www.seapower.ie/about/,091-442820
"Sea Solar Power Inc","Project Manager,Technology Developer","Marine Energy,Renewable Energy,Solar","United States",1972,,http://www.seasolarpower.com/index.html,"(717) 428-3246"
"Sea Solar Power International Inc","Technology Developer","Marine Energy,Renewable Energy","United States",1972,,http://www.seasolarpower.com,"(717) 428-3246"
"Sea Wave Energy Ltd SWEL","Project Manager,Technology Developer,Public Institutions","Renewable Energy,Marine Energy","United Kingdom",2005,2-10,http://swel.eu/,"+ 357 9920 7870"
"SeaDog Systems Inc","Project Manager,Technology Developer","Marine Energy,Renewable Energy","United States",2016,2-10,http://seadogsystems.com/about-us-2/,936-827-4020
"SeaEnergies Ltd","Project Manager,Public Institutions","Marine Energy,Renewable Energy","United Kingdom",2008,2-10,http://www.seaenergies.com/index.html,
SeaNergy,"Project Manager,Technology Developer,Public Institutions","Renewable Energy,Marine Energy",Israel,2009,,https://www.seanergy.co.il/,972-52-2531730
"SeaQurrent Holding BV","Technology Developer","Marine Energy,Renewable Energy",Denmark,2015,,https://seaqurrent.com/,"+31 6 20 70 77 75"
"SeaVolt Technologies formerly Sea Power Associates","Technology Developer","Marine Energy,Renewable Energy","United States",,,,
"Seabased AB","Project Manager,Technology Developer","Renewable Energy,Marine Energy,Wind energy",Ireland,2001,11-50,https://www.seabased.com/,"+46 (0)18-504810"
Seabreath,"Technology Developer","Marine Energy,Renewable Energy",Italy,2018,,http://www.seabreath.it/index.php/component/content/article?layout=edit&id=46,"+39 0521 645437"
"Seahorse Wave Energy","Technology Developer","Marine Energy,Renewable Energy",Brazil,2006,,http://www.seahorseenergy.com.br/en/,"(21) 3733-1774"
Seaplace,"Project Manager,Technology Developer","Marine Energy,Renewable Energy,Vehicles",Spain,1980,,http://www.seaplace.es/?lang=en,"(+34) 91 458 55 46"
"Seapower scrl","Technology Developer","Marine Energy,Renewable Energy,Wind energy",Italy,1994,,https://www.seapowerscrl.com/,0817683578
"Seatricity Ltd","Technology Developer","Marine Energy,Renewable Energy","United Kingdom",2007,,http://seatricity.com/,"+44 1326 352 362"
Seaturns,"Technology Developer","Marine Energy,Renewable Energy",France,2015,3,https://seaturns.com/,
Seeneoh,"Project Manager,Technology Developer","Marine Energy,Renewable Energy",France,2015,12,https://seeneoh.com/en/home-en/,"05 56 93 25 82"
"Sendekia Ingenieria","Technology Developer","Marine Energy,Renewable Energy",Spain,2007,2-10,,"+34 609 18 27 96"
"Sigma Energy","Technology Developer,Project Manager","Marine Energy,Renewable Energy",Slovenia,2008,,http://www.sigma-energy.si/,"+386 590 583 47"
"Slow Mill Sustainable Projects bv","Technology Developer","Marine Energy,Renewable Energy",Netherlands,2012,,http://www.slowmill.nl/," +31 6 12512794"
Sourcetainable,"Project Manager,Technology Developer","Marine Energy,Renewable Energy","United States",2015,11-50,,530-214-9266
Sprindrift,,"Marine Energy,Renewable Energy","United States",,2-10,http://www.spindriftenergy.com,805-587-4731
"Sustainable Energy Authority of Ireland",,"Bioenergy,Marine Energy,Renewable Energy,Solar,Wind energy",Ireland,2002,,https://www.seai.ie/,+353-1-8082100
"Sustainable Marine Energy Ltd","Project Manager,Technology Developer","Marine Energy,Renewable Energy","United Kingdom",2012,11-50,https://sustainablemarine.com/,"+44 131 285 4620"
"Symphony Wave Power","Technology Developer","Marine Energy,Renewable Energy",Netherlands,2016,,https://symphonywavepower.nl/,"+(31) 226 423 411"
"SyncWave Energy Inc","Technology Developer","Marine Energy,Renewable Energy",Canada,,,https://tracxn.com/d/companies/syncwaveenergy.com,604-894-0116
Tecnalia,"Project Manager,Technology Developer,Public Institutions","Hydrogen,Marine Energy",Spain,,1464,https://www.tecnalia.com/en/,"(+34) 946 430 850"
"Tenax Energy Pty Ltd","Project Manager","Marine Energy,Renewable Energy",Australia,2007,2-10,https://www.linkedin.com/company/tenax-energy/about/,"+61 (0) 8 8941 7688"
"Tension Technology International","Project Manager,Technology Developer","Marine Energy,Renewable Energy,Services","United Kingdom",1985,,https://www.tensiontech.com/,"+44 (0) 1323 504167"
"The Marine Institute","Project Manager,Technology Developer","Marine Energy,Renewable Energy",Ireland,1991,,https://www.marine.ie/,"353 (0)9 138 7200"
"Thin Red Line Aerospace","Technology Developer","Marine Energy,Renewable Energy",Canada,2003,2-10,http://www.thin-red-line.com/index.html,"(604) 847-0555"
"Tidal Energy Ltd","Technology Developer","Marine Energy,Renewable Energy","United Kingdom",2007,11-50,,44-0-2920-730-900
"Tidal Flyer","Project Manager,Technology Developer","Marine Energy,Renewable Energy",Ireland,1941,,https://tidalflyer.com/,"+353 (0)86 609 8519"
"Tidal Lagoon Power","Project Manager,Technology Developer","Marine Energy,Renewable Energy","United Kingdom",2011,51-200,http://www.tidallagoonpower.com/,"+44 (0)1452 303892"
"Tidal Sails AS","Technology Developer","Marine Energy,Renewable Energy",Norway,2004,10-15,http://tidalsails.com/,"+47 901 68 686"
"Tidal Ventures Limited","Technology Developer","Marine Energy,Renewable Energy",Australia,2016,,https://www.tidalvc.com/,
"TidalStream Ltd","Technology Developer","Marine Energy,Renewable Energy","United Kingdom",2006,,https://www.energy-xprt.com/companies/tidalstream-ltd-83953,"44(0)1926 811 292"
"Tidetec AS","Technology Developer","Marine Energy,Renewable Energy",Norway,,2-10,http://tidetec.com/,"+47 907 40 009"
"Tidewalker Associates","Technology Developer","Marine Energy,Renewable Energy","United States",2007,,https://www.mainetidalpower.com/about.html,207-214-5813
"Tocardo International BV","Project Manager,Technology Developer","Marine Energy,Renewable Energy",Netherlands,2008,11-50,http://www.tocardo.com/,"0031 853 036 799"
"Tremont Electric","Technology Developer","Renewable Energy,Marine Energy","United States",2007,2-10,https://www.linkedin.com/company/tremont-electric/about/,216-862-3965
"Tribute Resources Inc","Oil and Gas Companies","Renewable Energy,Marine Energy,Solar,Wind energy",Canada,1997,,http://www.tributeresources.com/,"1 (519) 657-7624"
"Tveter Power","Project Manager,Technology Developer","Marine Energy,Renewable Energy",,2011,,https://marineenergy.biz/2018/03/15/gallery-wave-driven-pumping-device-on-trials-at-plocan/,
"University of Delaware",,"Solar,Marine Energy,Renewable Energy","United States",1921,,https://www.udel.edu/,302-831-2792
"University of Exeter","Academic Institutions","Marine Energy","United Kingdom",1863,,https://www.exeter.ac.uk/us-2/,"+44 1392 661000"
"University of Malta",,"Marine Energy,Renewable Energy",Malta,,,https://www.offshoreenergystorage.com/,"+356 2340 2340"
"Verdant Power","Technology Developer","Marine Energy","United States",2000,1-10,http://www.verdantpower.com,
Verlume,"Technology Developer","Marine Energy,Renewable Energy","United Kingdom",2013,11-50,http://www.verlume.world,"+44 (0) 1224 933301"
"Verterra Energy Inc","Technology Developer","Marine Energy,Renewable Energy,Vehicles","United States",2010,11-50,https://www.verterraenergy.com/,612-349-9865
Vigor,"Project Manager,Technology Developer","Marine Energy,Vehicles,Wind energy","United States",1995,2000,https://vigor.net/,"(503) 247-1777"
"Voith Hydro Inc","Project Manager,Technology Developer","Hydropower,Marine Energy,Renewable Energy",,1867,"5001-10,000",http://voith.com/en/markets-industries/markets/energy-11484.html,"+1 717 792 7000"
"Vortex Hydro Energy LLC","Technology Developer","Marine Energy,Renewable Energy","United States",2004,2-10,http://www.vortexhydroenergy.com,"+1 (734) 585-0249"
"Vortex Oscillation Technology Ltd","Technology Developer","Hydropower,Marine Energy,Renewable Energy,Vehicles",Russia,2000,,http://www.vortexosc.com/,"+ 7-903-184-04-07"
WETGEN,"Technology Developer","Marine Energy,Renewable Energy","United States",2009,1,http://www.wetgen.com,
"WITT Limited","Project Manager,Technology Developer","Renewable Energy,Marine Energy","United Kingdom",,11-50,https://www.witt-energy.com/index.html,"+44 (0)1752 764442"
WSP,"Project Manager","Marine Energy,Solar,Transmission,Wind energy,Renewable Energy","United States",1951,"47,000",https://www.wsp.com/en-us/,206-431-2300
"Water Wall Turbine","Project Manager,Technology Developer","Marine Energy,Renewable Energy",Canada,2004,2-10,http://www.wwturbine.com,"+1 (604) 921 2525"
Water2Energy,"Project Manager,Technology Developer","Marine Energy,Renewable Energy",Netherlands,,,https://www.water2energy.nl/,"06 20 443 093 "
